ISO,Queue ID,Project Name,State,County,Capacity (MW),Queue Date,Withdrawn Date,Generation Type,search_text,withdraw_year,Score,in_dc_state,matched_owner,is_dc_adjacent,ai_era_large,matched_dc,match_type,dc_epoch_year,years_before_dc
NYISO,1001,Empire State Connector II,NY,Onondaga-NY,1250.0,2020-03-20 00:00:00+00:00,2022-08-31 00:00:00+00:00,DC Transmission,Empire State Connector LLC Empire State Connector II,2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
MISO,J802,,IN,Vermillion County,1244.0,2017-06-16 04:00:00+00:00,2018-05-22 04:00:00+00:00,Combined Cycle,,2018.0,2,True,,False,True,Anthropic-Amazon New Carlisle (state only),state only,,
NYISO,C24-012,EI Melville,NY,Offshore,1240.0,2024-08-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,Wind,Empire Wind 2 LLC EI Melville,2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,C24-343,AGR NY1,NY,Nassau,1229.0,2024-10-11 00:00:00+00:00,2025-03-31 00:00:00+00:00,Wind,"Avangrid Renewables, LLC AGR NY1",2025.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1170,Bowline to West 49th Street,NY,Rockland/NY,1228.0,2021-05-12 00:00:00+00:00,2022-01-31 00:00:00+00:00,AC Transmission,"Tier Four Connector, LLC Bowline to West 49th Street",2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,0679,NY City Offshore Wind,NY,Kings,1200.0,2017-11-07 00:00:00+00:00,2024-05-31 00:00:00+00:00,DC Transmission,"Anbaric Development Partners, LLC, NY OceanGrid, LLC NY City Offshore Wind",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,0680,Juno Power Express,NY,Suffolk,1200.0,2017-11-07 00:00:00+00:00,2024-11-30 00:00:00+00:00,DC Transmission,"Anbaric Development Partners, LLC Juno Power Express",2024.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,0767,NY Wind Gowanus,NY,NY,1200.0,2018-09-28 00:00:00+00:00,2021-08-31 00:00:00+00:00,Wind,Bay State Wind LLC NY Wind Gowanus,2021.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1087,Attentive Energy,NY,Nassau & Kings,1200.0,2020-08-31 00:00:00+00:00,2023-04-30 00:00:00+00:00,Wind,Attentive Energy LLC Attentive Energy,2023.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
NYISO,1120,Catskills Renewable Connector,NY,Greene/Queens,1200.0,2020-12-11 00:00:00+00:00,2022-06-30 00:00:00+00:00,DC Transmission,"Ravenswood Development, LLC Catskills Renewable Connector",2022.0,2,True,,False,True,Fluidstack Lake Mariner (state only),state only,,
